Code,Title,Season,Episode,Rating,Episode Number,Number of Episodes,Prop Through Series,main_character_left
tt0043175,The Amos 'n Andy Show,4.0,5.0,8.6,66.0,74,0.8918918918918919,0
tt0043175,The Amos 'n Andy Show,4.0,7.0,7.6,68.0,74,0.918918918918919,0
tt0043175,The Amos 'n Andy Show,4.0,8.0,8.0,69.0,74,0.9324324324324325,0
tt0043175,The Amos 'n Andy Show,4.0,10.0,7.9,71.0,74,0.9594594594594594,0
tt0043175,The Amos 'n Andy Show,4.0,11.0,7.7,72.0,74,0.972972972972973,0
tt0043208,I Love Lucy,1.0,3.0,8.5,4.0,181,0.022099447513812154,0
tt0043208,I Love Lucy,1.0,7.0,8.6,8.0,181,0.04419889502762431,0
tt0043208,I Love Lucy,1.0,10.0,8.2,11.0,181,0.06077348066298342,0
tt0043208,I Love Lucy,1.0,14.0,7.6,15.0,181,0.08287292817679558,0
tt0043208,I Love Lucy,1.0,17.0,8.3,18.0,181,0.09944751381215469,0
tt0043208,I Love Lucy,1.0,21.0,8.6,22.0,181,0.12154696132596685,0
tt0043208,I Love Lucy,1.0,24.0,8.7,25.0,181,0.13812154696132597,0
tt0043208,I Love Lucy,1.0,28.0,8.0,29.0,181,0.16022099447513813,0
tt0043208,I Love Lucy,1.0,31.0,8.3,32.0,181,0.17679558011049723,0
tt0043208,I Love Lucy,1.0,35.0,8.7,36.0,181,0.19889502762430938,0
tt0043208,I Love Lucy,2.0,3.0,8.6,39.0,181,0.2154696132596685,0
tt0043208,I Love Lucy,2.0,7.0,8.4,43.0,181,0.23756906077348067,0
tt0043208,I Love Lucy,2.0,10.0,8.7,46.0,181,0.2541436464088398,0
tt0043208,I Love Lucy,2.0,14.0,8.2,50.0,181,0.27624309392265195,0
tt0043208,I Love Lucy,2.0,17.0,8.6,53.0,181,0.292817679558011,0
tt0043208,I Love Lucy,2.0,21.0,8.7,57.0,181,0.3149171270718232,0
tt0043208,I Love Lucy,2.0,25.0,8.4,61.0,181,0.3370165745856354,0
tt0043208,I Love Lucy,2.0,28.0,8.6,64.0,181,0.35359116022099446,0
tt0043208,I Love Lucy,3.0,1.0,8.2,68.0,181,0.3756906077348066,0
tt0043208,I Love Lucy,3.0,4.0,8.8,71.0,181,0.39226519337016574,0
tt0043208,I Love Lucy,3.0,8.0,8.5,75.0,181,0.4143646408839779,0
tt0043208,I Love Lucy,3.0,11.0,8.5,78.0,181,0.430939226519337,0
tt0043208,I Love Lucy,3.0,15.0,8.6,82.0,181,0.4530386740331492,0
tt0043208,I Love Lucy,3.0,18.0,8.1,85.0,181,0.4696132596685083,0
tt0043208,I Love Lucy,3.0,22.0,8.4,89.0,181,0.49171270718232046,0
tt0043208,I Love Lucy,3.0,25.0,8.5,92.0,181,0.5082872928176796,0
tt0043208,I Love Lucy,3.0,29.0,8.1,96.0,181,0.5303867403314917,0
tt0043208,I Love Lucy,4.0,1.0,8.8,99.0,181,0.5469613259668509,0
tt0043208,I Love Lucy,4.0,5.0,8.7,103.0,181,0.569060773480663,0
tt0043208,I Love Lucy,4.0,8.0,8.8,106.0,181,0.585635359116022,0
tt0043208,I Love Lucy,4.0,12.0,8.8,110.0,181,0.6077348066298343,0
tt0043208,I Love Lucy,4.0,15.0,8.9,113.0,181,0.6243093922651933,0
tt0043208,I Love Lucy,4.0,19.0,8.7,117.0,181,0.6464088397790055,0
tt0043208,I Love Lucy,4.0,23.0,8.5,121.0,181,0.6685082872928176,0
tt0043208,I Love Lucy,4.0,26.0,8.5,124.0,181,0.6850828729281768,0
tt0043208,I Love Lucy,4.0,30.0,8.7,128.0,181,0.7071823204419889,0
tt0043208,I Love Lucy,5.0,3.0,8.2,131.0,181,0.7237569060773481,0
tt0043208,I Love Lucy,5.0,7.0,8.5,135.0,181,0.7458563535911602,0
tt0043208,I Love Lucy,5.0,10.0,8.6,138.0,181,0.7624309392265194,0
tt0043208,I Love Lucy,5.0,14.0,8.6,142.0,181,0.7845303867403315,0
tt0043208,I Love Lucy,5.0,17.0,7.6,145.0,181,0.8011049723756906,0
tt0043208,I Love Lucy,5.0,21.0,8.6,149.0,181,0.8232044198895028,0
tt0043208,I Love Lucy,5.0,24.0,8.7,152.0,181,0.8397790055248618,0
tt0043208,I Love Lucy,6.0,2.0,8.4,156.0,181,0.861878453038674,0
tt0043208,I Love Lucy,6.0,5.0,8.5,159.0,181,0.8784530386740331,0
tt0043208,I Love Lucy,6.0,9.0,8.5,163.0,181,0.9005524861878453,0
tt0043208,I Love Lucy,6.0,12.0,8.7,166.0,181,0.9171270718232044,0
tt0043208,I Love Lucy,6.0,16.0,8.6,170.0,181,0.9392265193370166,0
tt0043208,I Love Lucy,6.0,19.0,8.7,173.0,181,0.9558011049723757,0
tt0043208,I Love Lucy,6.0,23.0,8.4,177.0,181,0.9779005524861878,0
tt0043224,The Red Skelton Show,1.0,2.0,8.4,2.0,60,0.03333333333333333,0
tt0043224,The Red Skelton Show,1.0,4.0,7.7,3.0,60,0.05,0
tt0043224,The Red Skelton Show,1.0,6.0,8.5,4.0,60,0.06666666666666667,0
tt0043224,The Red Skelton Show,1.0,8.0,7.8,5.0,60,0.08333333333333333,0
tt0043224,The Red Skelton Show,1.0,9.0,8.2,6.0,60,0.1,0
tt0043224,The Red Skelton Show,1.0,11.0,6.4,7.0,60,0.11666666666666667,0
tt0043224,The Red Skelton Show,1.0,15.0,7.4,9.0,60,0.15,0
tt0043224,The Red Skelton Show,1.0,17.0,8.8,10.0,60,0.16666666666666666,0
tt0043224,The Red Skelton Show,1.0,23.0,8.1,11.0,60,0.18333333333333332,0
tt0043224,The Red Skelton Show,1.0,32.0,8.7,12.0,60,0.2,0
tt0043224,The Red Skelton Show,1.0,36.0,7.6,13.0,60,0.21666666666666667,0
tt0043224,The Red Skelton Show,3.0,21.0,7.7,14.0,60,0.23333333333333334,0
tt0043224,The Red Skelton Show,4.0,14.0,8.4,16.0,60,0.26666666666666666,0
